mixed: 0.7 Search 0.2 Insert 0.1 Delete Thread Number: 1 ~ 32, Operation Number: 2000, test times: 16, Time Unit: Nanosecond
ThreadNumber, LockedLinkedList, LazyLinkedList, LockFreeLinkedList
1, 121639, 168539, 167397
2, 186599, 242236, 150427
3, 373819, 353043, 159168
4, 426405, 432669, 153807
5, 424730, 413979, 150928
6, 446671, 409086, 166796
7, 454973, 454328, 199070
8, 453796, 365061, 212662
9, 416520, 421342, 238237
10, 396291, 420707, 248351
11, 337744, 375747, 299741
12, 395078, 412081, 337074
13, 446864, 398198, 406832
14, 477649, 451454, 472278
15, 560916, 523926, 526745
16, 522419, 468560, 511059
17, 620932, 562897, 612468
18, 674791, 630030, 663178
19, 744975, 719256, 730162
20, 817758, 819205, 815566
21, 898547, 921692, 878182
22, 969603, 958104, 987105
23, 1.03717e+06, 1.02397e+06, 1.02514e+06
24, 1.10786e+06, 1.11988e+06, 1.1154e+06
25, 1.1686e+06, 1.19495e+06, 1.16723e+06
26, 1.28722e+06, 1.31884e+06, 1.28805e+06
27, 1.31163e+06, 1.37238e+06, 1.35859e+06
28, 1.47675e+06, 1.51107e+06, 1.53456e+06
29, 1.56043e+06, 1.65697e+06, 1.6504e+06
30, 1.66511e+06, 1.74969e+06, 1.69483e+06
31, 1.70141e+06, 1.79825e+06, 1.81639e+06
32, 1.8142e+06, 1.89882e+06, 1.91117e+06
