read-dominated: 0.9 Search 0.09 Insert 0.01 Delete Thread Number: 1 ~ 32, Operation Number: 2000, test times: 16, Time Unit: Nanosecond
ThreadNumber, LockedLinkedList, LazyLinkedList, LockFreeLinkedList
1, 128498, 139862, 151191
2, 104893, 145134, 127822
3, 143092, 161451, 104950
4, 152152, 178581, 114705
5, 147145, 191036, 130618
6, 119425, 131990, 135631
7, 154939, 183457, 166210
8, 183820, 199197, 205939
9, 228799, 208492, 209361
10, 267079, 261864, 221784
11, 313196, 328539, 295974
12, 352813, 365035, 334900
13, 380869, 425363, 383772
14, 428843, 451272, 437613
15, 502241, 527574, 529764
16, 506928, 528075, 519628
17, 577404, 615367, 598716
18, 618002, 647221, 644520
19, 688469, 725305, 696752
20, 774479, 792409, 770870
21, 834328, 891987, 850980
22, 931150, 965625, 922998
23, 1.02387e+06, 1.04872e+06, 995562
24, 1.1028e+06, 1.147e+06, 1.11392e+06
25, 1.17473e+06, 1.221e+06, 1.16775e+06
26, 1.29088e+06, 1.34611e+06, 1.28906e+06
27, 1.32695e+06, 1.3972e+06, 1.37614e+06
28, 1.522e+06, 1.61142e+06, 1.55025e+06
29, 1.58998e+06, 1.68586e+06, 1.66447e+06
30, 1.71679e+06, 1.807e+06, 1.7689e+06
31, 1.79062e+06, 1.95024e+06, 1.8469e+06
32, 1.93304e+06, 2.03193e+06, 1.95299e+06
