write-dominated: 0 Search 0.5 Insert 0.5 Delete Thread Number: 1 ~ 32, Operation Number: 2000, test times: 16, Time Unit: Nanosecond
ThreadNumber, LockedLinkedList, LazyLinkedList, LockFreeLinkedList
1, 159600, 246828, 192294
2, 399371, 510710, 207918
3, 1.14012e+06, 818393, 317190
4, 1.24384e+06, 938563, 291073
5, 1.31661e+06, 1.05478e+06, 271775
6, 1.44472e+06, 1.02365e+06, 307438
7, 1.32476e+06, 1.10027e+06, 302166
8, 1.29907e+06, 1.02817e+06, 286676
9, 386438, 849336, 254075
10, 1.12664e+06, 1.01563e+06, 311894
11, 1.19909e+06, 962651, 316947
12, 1.3743e+06, 1.07787e+06, 349901
13, 1.07545e+06, 945256, 347850
14, 1.35526e+06, 1.09937e+06, 411721
15, 707151, 864986, 465197
16, 1.29046e+06, 1.03452e+06, 440608
17, 866222, 1.03269e+06, 518166
18, 773256, 1.13523e+06, 598984
19, 805119, 1.04535e+06, 673182
20, 852669, 1.13056e+06, 743349
21, 874191, 821953, 840711
22, 932951, 774895, 867860
23, 1.14621e+06, 974298, 1.00542e+06
24, 1.16721e+06, 1.01427e+06, 1.12593e+06
25, 1.18816e+06, 975935, 1.16317e+06
26, 1.31129e+06, 1.07377e+06, 1.27527e+06
27, 1.40274e+06, 1.28501e+06, 1.33972e+06
28, 1.50719e+06, 1.36138e+06, 1.48561e+06
29, 1.54981e+06, 1.54413e+06, 1.62981e+06
30, 1.62497e+06, 1.61574e+06, 1.68258e+06
31, 1.66272e+06, 1.73395e+06, 1.72006e+06
32, 1.7407e+06, 1.81218e+06, 1.85593e+06
